x,y,q1,q2
2012-09-16,162.20164010199534,60.085644177035725,435.02348294452753
2012-09-23,191.47377948439402,73.80345231727728,494.2466048208124
2012-09-30,209.1561497602211,80.67999061603989,539.7151365828813
2012-10-07,172.75873212375848,64.7898396345335,457.9173215343732
2012-10-14,248.77871287142455,96.97456210750425,635.7918780310313
2012-10-21,232.79219639948164,89.66789819001984,601.8461251273419
2012-10-28,243.45653188342925,90.11048594868855,654.89591975317785
2012-11-04,197.3626037776029,71.48664608271112,541.8271923704738
2012-11-11,177.9269953296708,68.67459588525286,458.49128589750785
2012-11-18,290.2593198792791,115.62610110435264,726.3842700154723
2012-11-25,362.97795840924084,143.13707747853644,918.124742400072
2012-12-02,714.4487963159886,295.6764450420589,1724.3374465823574
2012-12-09,408.9096710061494,149.90301350681273,1112.4697344979388
2012-12-16,338.2814221684919,118.28865635727192,963.9860007133622
2012-12-23,343.0906898429627,131.80505184985688,890.5203238688662
2012-12-30,1196.5539146848037,463.0133321863213,3089.7201993951135
2013-01-13,1502.2087303870874,532.0026183771072,4238.447254484655
2013-01-20,1674.0704902186962,590.6194516959027,4741.678996030947
2013-01-27,804.2037699133638,308.7870246748639,2091.8995065663917
2013-02-17,1420.387607950729,568.8954607229834,3544.1111147171423
2013-02-24,2182.551275750309,840.2591936790648,5666.5709575064975
2013-03-03,1208.9692870299805,445.5478670926859,3277.5414139084105
2013-04-07,2563.2675145094304,967.1091140448046,6791.073115080755
2013-04-14,1754.8846876567854,639.8129928806375,4810.280468094155
2013-05-12,623.3482909403318,229.86284384389367,1687.4951337760442
2013-05-19,874.7862106149282,297.1620830317505,2571.431339707198
2013-06-16,449.9527405416797,168.12682011379874,1201.401689248457
2013-06-23,273.9557218997389,106.69027087373318,701.0193039912424
2013-06-30,207.68686362317098,79.80995285951046,537.9213272353812
2013-07-28,247.0524717774516,84.47022513227094,718.9001600812627
2013-08-04,253.6211010658345,96.97990772092349,660.6857130814906
2013-08-11,225.6941619414392,86.62749288328902,585.462551505132
2013-09-15,251.30996620202242,89.20192468542969,704.7534444733278
2013-10-13,326.6964066685753,129.94893864674577,819.0519687538906
2013-10-20,392.69270655964897,154.56328943590162,995.3401247189855
2013-10-27,825.5941022830355,326.3917519856695,2085.9731927730563
2013-11-24,151.94116854270226,54.91840613248772,417.3059327511385
2013-12-01,204.85276411907668,74.86797852122213,557.540787845175
2013-12-08,269.0435674790008,101.29257647068941,711.8916960819816
2013-12-29,275.07124359398915,99.17303139337899,759.8368288290528
2014-01-05,116.97793951947729,45.028941064246396,301.3922317446718
2014-01-12,190.7115446601869,72.04481246183975,502.1612118272681
2014-02-09,279.7173528077227,105.1135139985436,741.6220204945528
2014-02-16,252.69780811852672,99.43615997227941,639.8307313014457
2014-02-23,282.74068632379345,107.23513819286215,742.8321641169822
2014-03-23,481.4048294027115,171.02111335122717,1351.8247486453038
2014-03-30,398.5979157210519,153.2926049031894,1033.9069830585777
2014-04-27,375.35797256835014,145.39779926136362,966.5372459860546
2014-05-04,389.1526302198846,151.5652390340735,996.7310416922547
2014-05-11,377.98004587585984,145.66602662116722,978.2716042076262
2014-06-08,379.4365938961794,142.4610738491563,1007.8590451198387
2014-06-15,268.010576174648,101.75667471167213,703.2529382823242
2014-06-22,225.04740610466658,84.65334471716213,595.5608228771223
2014-07-13,186.47433498053655,63.76605575177295,541.6704755821463
2014-07-20,168.7568315583886,61.143196530192874,462.72545137329575
2014-07-27,182.7076318509425,68.66220329943286,483.4591816198869
2014-08-24,148.86735859509668,56.612931187686954,388.84694424073155
2014-08-31,106.11578858510151,39.22959335684808,284.2077589358739
2014-09-07,172.99898004569602,65.83947489205492,451.96054623166
2014-10-05,185.87349375791592,68.47503519227924,501.65109722708985
2014-10-12,142.1141234751767,51.846271736157966,386.5704314644084
2014-10-19,166.23574899866477,62.24743818881257,441.1964990843131
2014-11-09,129.88163525815497,43.98730734528772,379.7741218288989
2014-11-16,158.8166085001554,55.9334827203744,447.6173536570184
2014-11-23,126.72023691759023,49.36116862474753,322.9094596837735
2014-12-21,110.9648878466433,39.168068952394314,311.0920780475847
2014-12-28,99.56887458296826,33.518516653344285,292.0050163063687
2015-01-04,172.09564373084154,56.989319146047585,515.6831119905733
2015-02-01,1230.0984050044076,479.5974701585771,3152.581483282282
2015-02-08,865.482383888072,329.85608379116746,2268.239582918618
2015-03-08,1441.7458045456983,561.2158546698051,3701.3421506970994
2015-03-15,1316.0820199713726,504.6323971828774,3429.7632521111223
2015-03-22,1892.5458610047904,715.9294389878934,5000.211740991041
2015-04-19,2343.7710573702134,890.9651623355409,6162.86328036072
2015-04-26,1404.528812819318,487.1056120075666,4046.302868614957
2015-05-03,1890.0334638294637,714.3011711360735,4998.303378244556
2015-05-24,1512.7984681847674,521.8727573829816,4381.683492152297
2015-05-31,1429.4854563331326,557.0358199584977,3665.9485498848394
2015-06-07,1522.454351305229,580.6751648525179,3989.050290524776
2015-07-05,1245.822438005561,488.17579629383374,3176.929496291652
2015-07-12,890.0875953585087,323.66151638942875,2444.7382920905493
2015-07-19,829.6605925389898,289.49217397206314,2374.268877514006
2015-08-16,622.8041317776207,230.55877953694377,1679.48732853486
2015-08-23,636.8443186023536,243.4443861137474,1663.367839415151
2015-09-20,360.9111519289675,134.1940287446101,967.8274186871147
2015-09-27,424.08463442192283,154.04088069371093,1164.4793601088568
2015-10-04,528.8015995538518,196.36439073502206,1421.190364961373
2015-11-01,492.1533428442945,176.1339934246076,1371.973164871451
2015-11-08,519.6507121244629,193.68104354491646,1391.4168429535246
2015-11-15,608.6281998987346,197.74829983763385,1868.9357046846974
2015-12-06,1092.4254428553113,397.552231816861,2998.805555304769
2015-12-13,1155.820274644914,440.7119652422218,3028.651114602899
2015-12-20,1024.0135223881462,390.0075033639028,2686.03979345566
2016-01-03,1212.9109605677515,419.14677875584044,3506.297674755851
2016-01-10,2809.4517102716577,1042.2984605038307,7569.833385447984
2016-01-17,1545.2372739970683,522.7653110201118,4563.73473365646
2016-01-24,2164.3073168017168,764.9538843505064,6120.19851075725
2016-01-31,3575.3202516516008,1381.6020659977823,9249.721416464234
2016-02-07,3093.214489252829,1247.7931244521403,7665.732878356005
2016-02-14,3843.700863714062,1520.7343685543922,9712.735220087005
2016-02-21,4493.129930220777,1797.989289007355,11225.972808076354
2016-02-28,4369.595601731936,1757.7955465298314,10859.901911861049
2016-03-06,4255.747162021841,1702.3647291274813,10636.707879898746
2016-03-13,2773.1571607464803,1110.280611402743,6924.296701439396
2016-03-20,3588.3864405194204,1438.2497690593789,8950.674196067308
2016-03-27,3044.251633627468,1171.7860143741188,7906.288625930446
2016-04-03,3095.0878292804105,1180.941524732294,8109.181126591213
2016-04-10,2868.8821951955442,1141.0589983963307,7210.732341206211
2016-04-17,1504.3187167527633,576.8470741879046,3920.425823935781
2016-04-24,1487.879669154291,536.5455887578291,4122.85984664767
2016-05-01,2133.5768179827674,818.8241100466911,5556.799698779214
2016-05-08,874.6124644458075,319.096131534616,2394.2091648753585
2016-05-15,700.0914568525941,248.7344008657746,1967.2079407869637
2016-05-22,327.05042956692756,119.05176651885971,895.4223306296741
2016-05-29,291.0694635288249,104.35061347460434,808.7206908679176
2016-06-05,218.01051598364418,85.03544460590658,556.5098301767722
2016-06-12,181.82602925333086,67.8994484472986,484.13243176550174
2016-06-19,176.68198225831028,70.27925573080833,441.9183006409659
2016-06-26,209.44513764577673,80.35561107170608,543.365107401327
2016-07-03,203.89369870287777,78.54436382568991,526.7737572977759
2016-07-10,209.20125904187816,76.6352950617226,568.1299204525794
2016-07-17,179.9010625536757,70.63908782794114,455.8064086975323
2016-07-24,174.76274247304914,68.06925800037986,446.2690533533384
2016-07-31,181.82161482783215,71.4214752171911,460.51701201913977
2016-08-07,175.123151004873,62.72200400254044,485.792039978037
2016-08-14,172.07182947406028,64.71814481472445,454.7928140233639
2016-08-21,205.0664236858003,79.76491800104013,524.7650477662701
2016-08-28,178.2621000903579,70.00362071366393,451.5811529864902
2016-09-04,158.2899480721419,62.77468688136243,396.85828512222423
2016-09-11,147.50223824718094,53.65378263621605,402.50207617302664
2016-09-18,145.2199321989832,55.7145920528638,375.9800292726543
2016-09-25,149.4513281973774,55.528982487822226,399.4247230388633
2016-10-02,213.7233175250784,83.00724026456137,547.8348735629825
2016-10-09,158.2437496447035,59.5658806433072,417.69401602942304
2016-10-16,196.91463362907928,77.0303245101012,500.98691919398607
2016-10-23,221.98165807799998,86.170099376599,569.3884725931808
2016-10-30,157.5835128242472,60.201500573265974,409.9168942609823
